internalName,title,metacriticLink,dealID,storeID,gameID,salePrice,normalPrice,isOnSale,savings,metacriticScore,steamRatingText,steamRatingPercent,steamRatingCount,steamAppID,releaseDate,lastChange,dealRating,thumb
COMPANYOFHEROES2,Company of Heroes 2,/game/pc/company-of-heroes-2,PYT8%2BgOJd%2BCOEUb87fNB1CjE%2B5orX3Fi1ohj6Yb7jLQ%3D,1,87548,1.99,19.99,1,90.045023,80,Very Positive,80,57964,231430,1372118400,1665100811,9.4,https://cdn.cloudflare.steamstatic.com/steam/apps/231430/capsule_sm_120.jpg?t=1661158807
PRINCEOFPERSIATHESANDSOFTIME,Prince of Persia: The Sands of Time,/game/pc/prince-of-persia-the-sands-of-time,ZblEZO%2Fy4fXzX2MPHRLN%2FMTI1Q1hXXXPFMvMrud8%2B6Y%3D,1,278,1.99,9.99,1,80.080080,89,Very Positive,85,2548,13600,1070323200,1665101076,9.4,https://cdn.cloudflare.steamstatic.com/steam/apps/13600/capsule_sm_120.jpg?t=1447351278
COMPANYOFHEROES,Company of Heroes,/game/pc/company-of-heroes,jMk%2BhjGpIo9Go5VfAYi1PHYlp%2FFpcax2ABPgj4Gj%2FPo%3D,1,117,4.99,19.99,1,75.037519,93,Very Positive,94,8184,4560,1158105600,1665100965,9.3,https://cdn.cloudflare.steamstatic.com/steam/apps/228200/capsule_sm_120.jpg?t=1632304482
CANDLE,Candle,/game/pc/candle,a1EIrTu7VITARszy8A5km9CR%2BjEB4sziugj7QKmh%2FBg%3D,1,155405,0.99,9.99,1,90.090090,80,Mostly Positive,78,720,420060,1478822400,1665081487,9.3,https://cdn.cloudflare.steamstatic.com/steam/apps/420060/capsule_sm_120.jpg?t=1562676294
BREATHOFGHOSTS,Breath of Ghosts,/game/pc/breath-of-ghosts,FatFt7T9b%2BTSHsxnglbJz45i8tiHTl2MrTBclSho7A8%3D,1,247672,2.49,24.99,1,90.036014,0,Mixed,52,23,1991900,1654732800,1665083169,9.3,https://cdn.cloudflare.steamstatic.com/steam/apps/1991900/capsule_sm_120.jpg?t=1654814218
GOODBYEDEPONIA,Goodbye Deponia,/game/pc/goodbye-deponia,Emke7m9VWcAU%2B7apFaQ5B6CUOJziWE0lr5t1qTQg5G0%3D,1,101882,1.99,19.99,1,90.045023,80,Very Positive,89,1602,241910,1381968000,1665076231,9.3,https://cdn.cloudflare.steamstatic.com/steam/apps/241910/capsule_sm_120.jpg?t=1646937382
PUZZLESWITHNATURE,Puzzles with nature,/game/pc/puzzles-with-nature,R4ORAL0TW%2BLN8ZZesi6EA7sVGyoggFENhV1T%2F3KT8vg%3D,1,247658,2.74,24.99,1,89.035614,0,Positive,90,10,2011160,1654732800,1665082125,9.2,https://cdn.cloudflare.steamstatic.com/steam/apps/2011160/capsule_sm_120.jpg?t=1654773719
DONUTCRABS,DonutCrabs,/game/pc/donutcrabs,k5rvNQ9V5CQ2rpGOuhfmtU7oXWK06BWNEYsGVe519VE%3D,1,248491,5.49,49.99,1,89.017804,0,Positive,90,10,2011130,1656806400,1665081738,9.2,https://cdn.cloudflare.steamstatic.com/steam/apps/2011130/capsule_sm_120.jpg?t=1656889160
ARTYOURBRAINS,Art your brains,/game/pc/art-your-brains,p0UYIbYQlqldAvHcSq5tdRpDqLDP3%2B2jkRYTIvVoEVA%3D,1,248167,5.49,49.99,1,89.017804,0,Positive,90,11,2011140,1655942400,1665081941,9.2,https://cdn.cloudflare.steamstatic.com/steam/apps/2011140/capsule_sm_120.jpg?t=1655983343
CHAOSONDEPONIA,Chaos on Deponia,/game/pc/chaos-on-deponia,pnmef7xhjpt2t5KKGYAZ3LalaEHqw7xIRvzSttFhemI%3D,1,93636,1.99,19.99,1,90.045023,78,Very Positive,90,1841,220740,1352160000,1665076080,9.1,https://cdn.cloudflare.steamstatic.com/steam/apps/220740/capsule_sm_120.jpg?t=1646937265
